id,text
49,"Colorâurine can be a variety of colors, most often shades of yellow, from very pale or colorless to very dark or amber. Unusual or abnormal urine colors can be the result of a disease process, several medications (e.g., multivitamins can turn urine bright yellow), or the result of eating certain foods."
12913,Rio de Janeiro: Annual Weather Averages. February is the hottest month in Rio de Janeiro with an average temperature of 27Â°C (81Â°F) and the coldest is July at 21Â°C (70Â°F) with the most daily sunshine hours at 7 in August. The wettest month is December with an average of 169mm of rain.
14964,The judiciary (also known as the judicial system or court system) is the system of courts that interprets and applies the law in the name of the state. The judiciary also provides a mechanism for the resolution of disputes.
17272,"Painless swelling of the feet and ankles is a common problem, especially among older people. Abnormal buildup of fluid in the ankles, feet, and legs can cause swelling. This fluid buildup and swelling is called edema."
18352,"Later that day, the National Hurricane Center (NHC) upgraded Sandy to hurricane status about 65 mi (105 km) south of Kingston, Jamaica. At about 1900 UTC that day, Sandy made landfall near Kingston with winds of about 85 mph (140 km/h)."
20498,"Quick Answer. Panama City, Fla. is located in the Eastern Standard Time zone. In the United States, the Eastern Standard Time zone is the Greenwich Mean Time, or Universal Time, minus five hours. Continue Reading."
23877,"A representative payee is a person or an organization. We appoint a payee to receive the Social Security or SSI benefits for anyone who canât manage or direct the management of his or her benefits. . A payeeâs main duties are to use the benefits to pay for the current and future needs of the beneficiary, and properly save any benefits not needed to meet current needs."
25929,"Early in the Fall, daily highs average at 70 degrees. Bozeman Montana weather includes Indian summers which can linger until the middle of October. Late October to early November, Fall is replaced with the chill of Winter with daytime highs in the 40âs with nighttime lows reaching the 20âs. Winter."
26129,"If youâre not interested in breeding your goldfish then you should keep your temperature at a steady temperature all year round. A tank temperature of approximately 23Â°C/74Â°F will be high enough to encourage a good rate of growth in your goldfish, without being so high that your goldfish become stressed."
28092,"Some people experience mild symptoms like a sore throat, whereas other people have more severe symptoms including fever and difficulty swallowing. Common symptoms of strep throat include: 1  sudden fever. 2  sore throat (red throat with white patches). 3  headache. 4  chills. 5  loss of appetite. 6  swollen lymph nodes in the neck."
34400,"Causes of the Pain in Right Side Under Ribs. The right side of your chest and upper abdomen is the area where your right lung, your liver, gallbladder, right kidney and part of the colon are located. The pain in this part is often related with these organs. 1. Right Lung."
34756,"The normal body temperature for cats falls in the range of 99.5-102.5 Fahrenheit. Fever, referred to medically as pyrexia, can be defined as a higher than normal body temperature in cats â a body temperature of at least 103.5 Â° F (39.7Â° C)."
42209,"All of the following are healthy foods for your gallbladder, as well as the rest of your body: 1  Fresh fruits and vegetables. 2  Whole grains (whole-wheat bread, brown rice, oats, bran cereal) 3  Lean meat, poultry, and fish.  Low-fat dairy products."
44746,"The ideal temperature for brewing coffee is 200 Degrees Fahrenheit. That said, don't get overly concerned about hitting the exact right temperature. Drip brewers have their own thermostats, and some even offer you a choice of more than one brewing temperature."
47203,"Causes of Right Ventricular Hypertrophy. There are four usual causes of right ventricular hypertrophy. The first one is pulmonary hypertension. As stated earlier, pulmonary hypertension is a condition wherein the blood pressure increases in the pulmonary artery. And this can lead to shortness of breath, dizziness and fainting."
47212,"Ventricular hypertrophy. Ventricular hypertrophy (VH) is thickening of the walls of a ventricle (lower chamber) of the heart.[1][2] Although left ventricular hypertrophy (LVH) is more common, right ventricular hypertrophy (RVH), as well as concurrent hypertrophy of both ventricles can also occur."
47733,"Peanuts is a syndicated daily and Sunday American comic strip written and illustrated by Charles M. Schulz, which ran from October 2, 1950, to February 13, 2000, continuing in reruns afterward."
48797,"Directions. Preheat the oven to 450 degrees F. Season salmon with salt and pepper. Place salmon, skin side down, on a non-stick baking sheet or in a non-stick pan with an oven-proof handle. Bake until salmon is cooked through, about 12 to 15 minutes. Serve with the Toasted Almond Parsley Salad and squash, if desired.Mince the shallot and add to a small bowl.eason salmon with salt and pepper. Place salmon, skin side down, on a non-stick baking sheet or in a non-stick pan with an oven-proof handle. Bake until salmon is cooked through, about 12 to 15 minutes. Serve with the Toasted Almond Parsley Salad and squash, if desired. Mince the shallot and add to a small bowl."
50146,"The Test. How is it used? The C-reactive protein (CRP) test is used by a health practitioner to detect inflammation. CRP is an acute phase reactant, a protein made by the liver and released into the blood within a few hours after tissue injury, the start of an infection, or other cause of inflammation."
50361,"Dr. James Naismith was a Canadian physical education instructor who invented the game of basketball in 1891 while working at the YMCA Training School in Springfield, Massachusetts."
50507,"In addition to the high financial value of higher education, higher education also makes individuals much more intelligent than what they would be with just a high school education. The more intelligent an individual is, the better quality of life they are likely to have."
52290,"- The Tu-144 supersonic transport was the fastest commercial jet plane at Mach 2.35 (1,555 mph, 2,503 km/h). It went into service in 1975, but soon stopped flying. The Mach 2 Concorde aircraft entered service in 1976 and flew for 27 years.."
54337,"The significance of the Harlem Renaissance was that the people of African descent understood that their histories and their cultural forms had distinctive aesthetics, philosophical bases, and perhaps most important mass appeal to people of all stripes."
56458,"After releasing his last project Drink More Water 6 solely on Warner Bros. Records last month, he has now officially cut ties with the Toronto-based imprint. iLoveMakonnen signed with OVO Sound back in 2014 after Drake remixed his viral hit Club Going Up on a Tuesday, turning it into a charting smash."
57447,"Montonic Function. When a function is increasing on its entire domain or decreasing on its entire domain, we say that the function is strictly monotonic, and we call it a monotonic function. For example, consider the function g(x) equals x 3: Notice the graph of g is increasing everywhere. Therefore, this is a monotonic function."
57448,"I've never heard of monotonic being used for two (input) variables, but I suppose it would mean that, for each fixed value of y, u is a monotonic function of x, and for each fixed value of x, u is a monotonic function of y (and I expect they'd need to be either both monotonic increasing or both monotonic decreasing)."
57450,"Monotonicity criterion. This article is about a voting system criterion. For the mathematical notion of an order preserving mapping, see monotonic function. The monotonicity criterion is a voting system criterion used to evaluate both single and multiple winner ranked voting systems."
58387,"Flea larvae develop more quickly at higher temperatures, preferring areas that are 70Â° to 90Â°F. At cool temperatures, fully formed fleas can remain in their cocoons for up to 12 months. Warm temperatures and mechanical pressure caused by walking on or vacuuming carpet stimulate emergence from the cocoon."
